Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
177,PMR8-02,446.093750,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
178,PMR8-03,446.093750,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
179,PMR8-04,446.093750,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
180,PMR8-05,446.093750,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
181,PMR8-06,446.093750,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
182,PMR8-07,446.093750,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
183,PMR8-08,446.093750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
184,PMR8-09,446.093750,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
185,PMR8-10,446.093750,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
186,PMR8-11,446.093750,,0.000000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
187,PMR8-12,446.093750,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
188,PMR8-13,446.093750,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
189,PMR8-14,446.093750,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
190,PMR8-15,446.093750,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
191,PMR8-16,446.093750,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
192,PMR8-17,446.093750,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
193,PMR8-18,446.093750,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
194,PMR8-19,446.093750,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
195,PMR8-20,446.093750,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
196,PMR8-21,446.093750,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
197,PMR8-22,446.093750,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
198,PMR8-23,446.093750,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
199,PMR8-24,446.093750,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
